Dataset,Threshold,Accuracy,Precision,Recall,F1 Score,F2 Score,Classification Report,Confusion Matrix,True Positive Category Counts
../data/jigsaw_test_42.csv,0.3,0.87,0.874630290437689,0.87,0.8694817941245435,0.8691221155951446,"               precision    recall  f1-score   support

    Offensive       0.83      0.93      0.88       152
Non-Offensive       0.92      0.81      0.86       148

     accuracy                           0.87       300
    macro avg       0.88      0.87      0.87       300
 weighted avg       0.87      0.87      0.87       300
","[[141  11]
 [ 28 120]]",TOXICITY: 141; INSULT: 129; PROFANITY: 34; SPAM: 2; THREAT: 11; SEVERE_TOXICITY: 2
../data/jigsaw_test_42.csv,0.32,0.8766666666666667,0.8770311641649221,0.8766666666666667,0.8766049444500049,0.876583522297808,"               precision    recall  f1-score   support

    Offensive       0.87      0.89      0.88       152
Non-Offensive       0.89      0.86      0.87       148

     accuracy                           0.88       300
    macro avg       0.88      0.88      0.88       300
 weighted avg       0.88      0.88      0.88       300
","[[136  16]
 [ 21 127]]",TOXICITY: 135; INSULT: 128; PROFANITY: 32; SPAM: 2; THREAT: 11; SEVERE_TOXICITY: 2
../data/jigsaw_test_42.csv,0.34,0.87,0.8700048908452269,0.87,0.8699927757710475,0.86999478999038,"               precision    recall  f1-score   support

    Offensive       0.87      0.88      0.87       152
Non-Offensive       0.87      0.86      0.87       148

     accuracy                           0.87       300
    macro avg       0.87      0.87      0.87       300
 weighted avg       0.87      0.87      0.87       300
","[[133  19]
 [ 20 128]]",TOXICITY: 130; INSULT: 127; PROFANITY: 29; SPAM: 2; THREAT: 11; SEVERE_TOXICITY: 2
../data/jigsaw_test_42.csv,0.36,0.8666666666666667,0.8667555555555555,0.8666666666666667,0.8666725928559788,0.8666597918103867,"               precision    recall  f1-score   support

    Offensive       0.87      0.86      0.87       152
Non-Offensive       0.86      0.87      0.87       148

     accuracy                           0.87       300
    macro avg       0.87      0.87      0.87       300
 weighted avg       0.87      0.87      0.87       300
","[[131  21]
 [ 19 129]]",TOXICITY: 130; INSULT: 123; PROFANITY: 25; SPAM: 1; THREAT: 6
../data/jigsaw_test_42.csv,0.4,0.86,0.8624642857142859,0.86,0.8598505603985056,0.8596100238935033,"               precision    recall  f1-score   support

    Offensive       0.89      0.82      0.86       152
Non-Offensive       0.83      0.90      0.86       148

     accuracy                           0.86       300
    macro avg       0.86      0.86      0.86       300
 weighted avg       0.86      0.86      0.86       300
","[[125  27]
 [ 15 133]]",TOXICITY: 119; INSULT: 117; SPAM: 1; THREAT: 6; PROFANITY: 14
../data/jigsaw_test_42.csv,0.42,0.8566666666666667,0.8615129068462402,0.8566666666666667,0.8563140415520997,0.8558656072558618,"               precision    recall  f1-score   support

    Offensive       0.90      0.80      0.85       152
Non-Offensive       0.82      0.91      0.86       148

     accuracy                           0.86       300
    macro avg       0.86      0.86      0.86       300
 weighted avg       0.86      0.86      0.86       300
","[[122  30]
 [ 13 135]]",TOXICITY: 112; INSULT: 115; SPAM: 1; THREAT: 6; PROFANITY: 12
../data/jigsaw_test_42.csv,0.44,0.8466666666666667,0.8545641025641024,0.8466666666666667,0.845989562424729,0.8453036866326669,"               precision    recall  f1-score   support

    Offensive       0.91      0.78      0.84       152
Non-Offensive       0.80      0.92      0.86       148

     accuracy                           0.85       300
    macro avg       0.85      0.85      0.85       300
 weighted avg       0.85      0.85      0.85       300
","[[118  34]
 [ 12 136]]",INSULT: 112; TOXICITY: 105; SPAM: 1; THREAT: 6; PROFANITY: 12
../data/jigsaw_test_42.csv,0.46,0.83,0.8451285839604784,0.83,0.8284060893235206,0.8272384215891926,"               precision    recall  f1-score   support

    Offensive       0.92      0.73      0.81       152
Non-Offensive       0.77      0.93      0.84       148

     accuracy                           0.83       300
    macro avg       0.84      0.83      0.83       300
 weighted avg       0.85      0.83      0.83       300
","[[111  41]
 [ 10 138]]",INSULT: 107; TOXICITY: 100; SPAM: 1; THREAT: 3; PROFANITY: 9
../data/jigsaw_test_42.csv,0.48,0.81,0.8306086956521739,0.81,0.8073907615480649,0.8060067180399131,"               precision    recall  f1-score   support

    Offensive       0.91      0.69      0.79       152
Non-Offensive       0.75      0.93      0.83       148

     accuracy                           0.81       300
    macro avg       0.83      0.81      0.81       300
 weighted avg       0.83      0.81      0.81       300
","[[105  47]
 [ 10 138]]",TOXICITY: 91; INSULT: 100; THREAT: 3; PROFANITY: 7
../data/jigsaw_test_42.csv,0.5,0.81,0.8330150016563342,0.81,0.8070785694170656,0.805555328054923,"               precision    recall  f1-score   support

    Offensive       0.92      0.68      0.78       152
Non-Offensive       0.74      0.94      0.83       148

     accuracy                           0.81       300
    macro avg       0.83      0.81      0.81       300
 weighted avg       0.83      0.81      0.81       300
","[[104  48]
 [  9 139]]",INSULT: 99; TOXICITY: 91; THREAT: 2; PROFANITY: 5
../data/jigsaw_test_42.csv,0.52,0.78,0.8157496533967122,0.78,0.7742424104501389,0.7725298627206276,"               precision    recall  f1-score   support

    Offensive       0.92      0.62      0.74       152
Non-Offensive       0.71      0.95      0.81       148

     accuracy                           0.78       300
    macro avg       0.81      0.78      0.77       300
 weighted avg       0.82      0.78      0.77       300
","[[ 94  58]
 [  8 140]]",INSULT: 89; TOXICITY: 77; THREAT: 2; PROFANITY: 5
../data/jigsaw_test_42.csv,0.54,0.7533333333333333,0.798821180196929,0.7533333333333333,0.7444618988562767,0.7430999150297396,"               precision    recall  f1-score   support

    Offensive       0.91      0.57      0.70       152
Non-Offensive       0.68      0.95      0.79       148

     accuracy                           0.75       300
    macro avg       0.80      0.76      0.75       300
 weighted avg       0.80      0.75      0.74       300
","[[ 86  66]
 [  8 140]]",TOXICITY: 69; INSULT: 82; THREAT: 2; PROFANITY: 4
